"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"2","A graphical user interface to map folders to virtual drives (see SUBST command). This can be done for the current user and for all users at Windows startup.","图形界面工具，用于将文件夹映射为虚拟驱动器（类似 SUBST 命令）。支持为当前用户或所有用户设置，并在 Windows 启动时自动生效。","","False","","",""
"3","• Updated Windows App SDK to version 2.4.0.
• Updated NuGet packages.
• Added Simplified Chinese (zh_Hans) as an available language.","• Windows App SDK 已更新至 2.4.0 版本。
• NuGet 包已更新。
• 新增简体中文（zh_Hans）作为可用语言。","","False","","",""
"4","SUBSTitute","SUBSTitute","","False","","",""
"8","A graphical user interface to map folders to virtual drives (see SUBST command).","图形界面工具，用于将文件夹映射到虚拟驱动器（详见 SUBST 命令）。","","False","","",""
"9","David Sungaila","David Sungaila","","False","","",""
"150","View a list of all real and virtual drives on your computer.","查看计算机上所有真实驱动器和虚拟驱动器的列表。","","False","","",""
"151","Map an existing folder to a new virtual drive.","将现有文件夹映射到新的虚拟驱动器。","","False","","",""
"152","Support for a dark app theme included.","现已支持暗色主题。","","False","","",""
"153","View all available drives in a grid view.","在网格视图中显示所有可用的驱动器。","","False","","",""
"154","View all available drives in a tiled view.","在平铺视图中显示所有可用的驱动器。","","False","","",""
"900","SUBST","SUBST","","False","","",""
"901","Virtual drive","虚拟驱动器","","False","","",""
"902","Startup","启动","","False","","",""
