"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"2","A graphical user interface to map folders to virtual drives (see SUBST command). This can be done for the current user and for all users at Windows startup.","Графический пользовательский интерфейс для сопоставления папок виртуальным дискам (см. команду SUBST). Это можно сделать для текущего пользователя или для всех пользователей при запуске Windows.","","False","","",""
"3","• Updated Windows App SDK to version 2.4.0.
• Updated NuGet packages.
• Added Simplified Chinese (zh_Hans) as an available language.","• Windows App SDK обновлён до версии 2.4.0.
• Обновлены пакеты NuGet.
• Добавлен упрощённый китайский язык (zh_Hans).","","False","","",""
"4","SUBSTitute","SUBSTitute","","False","","",""
"8","A graphical user interface to map folders to virtual drives (see SUBST command).","Графический пользовательский интерфейс для сопоставления папок виртуальным дискам (см. команду SUBST).","","False","","",""
"9","David Sungaila","David Sungaila","","False","","",""
"150","View a list of all real and virtual drives on your computer.","Просмотрите список всех реальных и виртуальных дисков на компьютере.","","False","","",""
"151","Map an existing folder to a new virtual drive.","Сопоставьте существующую папку с новым виртуальным диском.","","False","","",""
"152","Support for a dark app theme included.","Поддерживается тёмная тема приложения.","","False","","",""
"153","View all available drives in a grid view.","Просмотрите все доступные диски в виде сетки.","","False","","",""
"154","View all available drives in a tiled view.","Просмотрите все доступные диски в виде плиток.","","False","","",""
"900","SUBST","SUBST","","False","","",""
"901","Virtual drive","Виртуальный диск","","False","","",""
"902","Startup","Автозапуск","","False","","",""
